pm25,recorded_at
10.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
1.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
7.35,2020-09-14T01:00:00Z
9.0,2026-07-14T09:00:00Z
1.0,2026-07-14T09:00:00Z
9.75,2026-07-14T09:00:00Z
6.3,2016-09-12T20:00:00Z
7.0,2026-07-14T09:00:00Z
16.0,2025-07-30T00:00:00Z
4.72,2020-09-10T09:00:00Z
7.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
14.0,2026-04-03T20:00:00Z
9.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
14.0,2026-07-14T09:00:00Z
6.0,2026-07-14T09:00:00Z
9.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
288.0,2018-02-22T03:00:00Z
10.0,2026-07-14T09:00:00Z
11.7,2023-07-27T14:00:00Z
2.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
3.0,2026-07-14T09:00:00Z
1.0,2026-07-14T09:00:00Z
18.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
13.0,2026-07-14T09:00:00Z
16.0,2025-07-30T00:00:00Z
0.0,2020-08-29T20:00:00Z
16.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
4.369,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
16.0,2026-07-14T09:00:00Z
8.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
20.0,2026-07-14T09:00:00Z
0.0,2026-07-14T09:00:00Z
4.0,2026-07-14T09:00:00Z
9.0,2026-04-03T20:00:00Z
13.0,2026-07-14T09:00:00Z
5.0,2026-07-14T09:00:00Z
22.2,2026-07-14T09:00:00Z
10.0,2021-08-09T11:00:00Z
12.0,2026-07-14T09:00:00Z
15.0,2026-07-14T09:00:00Z
23.0,2026-07-14T09:00:00Z
12.0,2026-07-14T09:00:00Z
10.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
7.0,2026-07-14T09:00:00Z
16.0,2026-07-14T09:00:00Z
